Printing Modifier Definitions:
Tag: ai_require_cb_for_war, Categories: Country, , All, 
Tag: pop_join_rebel_threshold, Categories: Country, , All, 
Tag: local_pop_leave_rebels_threshold, Categories: Location, , All, 
Tag: pop_leave_rebels_threshold, Categories: Country, , All, 
Tag: allow_slave_conversion, Categories: Country, , All, 
Tag: unemployed_slave_promotion, Categories: Country, , All, 
Tag: can_extract_horses, Categories: Country, , All, 
Tag: can_extract_clay, Categories: Country, , All, 
Tag: can_extract_sand, Categories: Country, , All, 
Tag: can_extract_coal, Categories: Country, , All, 
Tag: can_extract_iron, Categories: Country, , All, 
Tag: can_extract_copper, Categories: Country, , All, 
Tag: can_extract_goods_gold, Categories: Country, , All, 
Tag: can_extract_silver, Categories: Country, , All, 
Tag: can_extract_stone, Categories: Country, , All, 
Tag: can_extract_tin, Categories: Country, , All, 
Tag: can_extract_lead, Categories: Country, , All, 
Tag: can_extract_silk, Categories: Country, , All, 
Tag: can_extract_dyes, Categories: Country, , All, 
Tag: can_extract_incense, Categories: Country, , All, 
Tag: can_extract_tea, Categories: Country, , All, 
Tag: can_extract_cocoa, Categories: Country, , All, 
Tag: can_extract_coffee, Categories: Country, , All, 
Tag: can_extract_fiber_crops, Categories: Country, , All, 
Tag: can_extract_ivory, Categories: Country, , All, 
Tag: can_extract_fur, Categories: Country, , All, 
Tag: can_extract_lumber, Categories: Country, , All, 
Tag: can_extract_salt, Categories: Country, , All, 
Tag: can_extract_medicaments, Categories: Country, , All, 
Tag: can_extract_gems, Categories: Country, , All, 
Tag: can_extract_pearls, Categories: Country, , All, 
Tag: can_extract_amber, Categories: Country, , All, 
Tag: can_extract_saltpeter, Categories: Country, , All, 
Tag: can_extract_alum, Categories: Country, , All, 
Tag: can_extract_wine, Categories: Country, , All, 
Tag: can_extract_elephants, Categories: Country, , All, 
Tag: can_extract_marble, Categories: Country, , All, 
Tag: can_extract_mercury, Categories: Country, , All, 
Tag: can_extract_cotton, Categories: Country, , All, 
Tag: can_extract_sugar, Categories: Country, , All, 
Tag: can_extract_tobacco, Categories: Country, , All, 
Tag: can_extract_tar, Categories: Country, , All, 
Tag: can_extract_porcelain, Categories: Country, , All, 
Tag: can_extract_naval_supplies, Categories: Country, , All, 
Tag: can_extract_firearms, Categories: Country, , All, 
Tag: can_extract_cannons, Categories: Country, , All, 
Tag: can_extract_weaponry, Categories: Country, , All, 
Tag: can_extract_glass, Categories: Country, , All, 
Tag: can_extract_steel, Categories: Country, , All, 
Tag: can_extract_cloth, Categories: Country, , All, 
Tag: can_extract_fine_cloth, Categories: Country, , All, 
Tag: can_extract_liquor, Categories: Country, , All, 
Tag: can_extract_beer, Categories: Country, , All, 
Tag: can_extract_paper, Categories: Country, , All, 
Tag: can_extract_books, Categories: Country, , All, 
Tag: can_extract_jewelry, Categories: Country, , All, 
Tag: can_extract_leather, Categories: Country, , All, 
Tag: can_extract_tools, Categories: Country, , All, 
Tag: can_extract_masonry, Categories: Country, , All, 
Tag: can_extract_lacquerware, Categories: Country, , All, 
Tag: can_extract_wool, Categories: Country, , All, 
Tag: can_extract_wild_game, Categories: Country, , All, 
Tag: can_extract_fish, Categories: Country, , All, 
Tag: can_extract_wheat, Categories: Country, , All, 
Tag: can_extract_maize, Categories: Country, , All, 
Tag: can_extract_rice, Categories: Country, , All, 
Tag: can_extract_millet, Categories: Country, , All, 
Tag: can_extract_legumes, Categories: Country, , All, 
Tag: can_extract_potato, Categories: Country, , All, 
Tag: can_extract_livestock, Categories: Country, , All, 
Tag: can_extract_olives, Categories: Country, , All, 
Tag: can_extract_fruit, Categories: Country, , All, 
Tag: can_extract_slaves_goods, Categories: Country, , All, 
Tag: can_extract_cloves, Categories: Country, , All, 
Tag: can_extract_pepper, Categories: Country, , All, 
Tag: can_extract_saffron, Categories: Country, , All, 
Tag: can_extract_beeswax, Categories: Country, , All, 
Tag: can_extract_chili, Categories: Country, , All, 
Tag: can_extract_pottery, Categories: Country, , All, 
Tag: can_extract_furniture, Categories: Country, , All, 
Tag: ban_exports_of_cotton, Categories: Country, , All, 
Tag: ban_exports_of_sugar, Categories: Country, , All, 
Tag: ban_exports_of_tobacco, Categories: Country, , All, 
Tag: ban_exports_of_horses, Categories: Country, , All, 
Tag: ban_exports_of_clay, Categories: Country, , All, 
Tag: ban_exports_of_sand, Categories: Country, , All, 
Tag: ban_exports_of_coal, Categories: Country, , All, 
Tag: ban_exports_of_iron, Categories: Country, , All, 
Tag: ban_exports_of_copper, Categories: Country, , All, 
Tag: ban_exports_of_goods_gold, Categories: Country, , All, 
Tag: ban_exports_of_silver, Categories: Country, , All, 
Tag: ban_exports_of_stone, Categories: Country, , All, 
Tag: ban_exports_of_tin, Categories: Country, , All, 
Tag: ban_exports_of_lead, Categories: Country, , All, 
Tag: ban_exports_of_wool, Categories: Country, , All, 
Tag: ban_exports_of_silk, Categories: Country, , All, 
Tag: ban_exports_of_dyes, Categories: Country, , All, 
Tag: ban_exports_of_incense, Categories: Country, , All, 
Tag: ban_exports_of_tea, Categories: Country, , All, 
Tag: ban_exports_of_cocoa, Categories: Country, , All, 
Tag: ban_exports_of_coffee, Categories: Country, , All, 
Tag: ban_exports_of_fiber_crops, Categories: Country, , All, 
Tag: ban_exports_of_ivory, Categories: Country, , All, 
Tag: ban_exports_of_fur, Categories: Country, , All, 
Tag: ban_exports_of_lumber, Categories: Country, , All, 
Tag: ban_exports_of_salt, Categories: Country, , All, 
Tag: ban_exports_of_medicaments, Categories: Country, , All, 
Tag: ban_exports_of_gems, Categories: Country, , All, 
Tag: ban_exports_of_pearls, Categories: Country, , All, 
Tag: ban_exports_of_amber, Categories: Country, , All, 
Tag: ban_exports_of_saltpeter, Categories: Country, , All, 
Tag: ban_exports_of_alum, Categories: Country, , All, 
Tag: ban_exports_of_wine, Categories: Country, , All, 
Tag: ban_exports_of_elephants, Categories: Country, , All, 
Tag: ban_exports_of_slaves_goods, Categories: Country, , All, 
Tag: ban_exports_of_wild_game, Categories: Country, , All, 
Tag: ban_exports_of_fish, Categories: Country, , All, 
Tag: ban_exports_of_wheat, Categories: Country, , All, 
Tag: ban_exports_of_maize, Categories: Country, , All, 
Tag: ban_exports_of_rice, Categories: Country, , All, 
Tag: ban_exports_of_millet, Categories: Country, , All, 
Tag: ban_exports_of_legumes, Categories: Country, , All, 
Tag: ban_exports_of_potato, Categories: Country, , All, 
Tag: ban_exports_of_livestock, Categories: Country, , All, 
Tag: ban_exports_of_olives, Categories: Country, , All, 
Tag: ban_exports_of_fruit, Categories: Country, , All, 
Tag: ban_exports_of_tar, Categories: Country, , All, 
Tag: ban_exports_of_porcelain, Categories: Country, , All, 
Tag: ban_exports_of_naval_supplies, Categories: Country, , All, 
Tag: ban_exports_of_weaponry, Categories: Country, , All, 
Tag: ban_exports_of_glass, Categories: Country, , All, 
Tag: ban_exports_of_steel, Categories: Country, , All, 
Tag: ban_exports_of_cloth, Categories: Country, , All, 
Tag: ban_exports_of_fine_cloth, Categories: Country, , All, 
Tag: ban_exports_of_liquor, Categories: Country, , All, 
Tag: ban_exports_of_beer, Categories: Country, , All, 
Tag: ban_exports_of_paper, Categories: Country, , All, 
Tag: ban_exports_of_books, Categories: Country, , All, 
Tag: ban_exports_of_jewelry, Categories: Country, , All, 
Tag: ban_exports_of_leather, Categories: Country, , All, 
Tag: ban_exports_of_tools, Categories: Country, , All, 
Tag: ban_exports_of_lacquerware, Categories: Country, , All, 
Tag: ban_imports_of_cotton, Categories: Country, , All, 
Tag: ban_imports_of_sugar, Categories: Country, , All, 
Tag: ban_imports_of_tobacco, Categories: Country, , All, 
Tag: ban_imports_of_horses, Categories: Country, , All, 
Tag: ban_imports_of_clay, Categories: Country, , All, 
Tag: ban_imports_of_sand, Categories: Country, , All, 
Tag: ban_imports_of_coal, Categories: Country, , All, 
Tag: ban_imports_of_iron, Categories: Country, , All, 
Tag: ban_imports_of_copper, Categories: Country, , All, 
Tag: ban_imports_of_goods_gold, Categories: Country, , All, 
Tag: ban_imports_of_silver, Categories: Country, , All, 
Tag: ban_imports_of_stone, Categories: Country, , All, 
Tag: ban_imports_of_tin, Categories: Country, , All, 
Tag: ban_imports_of_lead, Categories: Country, , All, 
Tag: ban_imports_of_wool, Categories: Country, , All, 
Tag: ban_imports_of_silk, Categories: Country, , All, 
Tag: ban_imports_of_dyes, Categories: Country, , All, 
Tag: ban_imports_of_incense, Categories: Country, , All, 
Tag: ban_imports_of_tea, Categories: Country, , All, 
Tag: ban_imports_of_cocoa, Categories: Country, , All, 
Tag: ban_imports_of_coffee, Categories: Country, , All, 
Tag: ban_imports_of_fiber_crops, Categories: Country, , All, 
Tag: ban_imports_of_ivory, Categories: Country, , All, 
Tag: ban_imports_of_fur, Categories: Country, , All, 
Tag: ban_imports_of_lumber, Categories: Country, , All, 
Tag: ban_imports_of_salt, Categories: Country, , All, 
Tag: ban_imports_of_medicaments, Categories: Country, , All, 
Tag: ban_imports_of_gems, Categories: Country, , All, 
Tag: ban_imports_of_pearls, Categories: Country, , All, 
Tag: ban_imports_of_amber, Categories: Country, , All, 
Tag: ban_imports_of_saltpeter, Categories: Country, , All, 
Tag: ban_imports_of_alum, Categories: Country, , All, 
Tag: ban_imports_of_wine, Categories: Country, , All, 
Tag: ban_imports_of_elephants, Categories: Country, , All, 
Tag: ban_imports_of_slaves_goods, Categories: Country, , All, 
Tag: ban_imports_of_wild_game, Categories: Country, , All, 
Tag: ban_imports_of_fish, Categories: Country, , All, 
Tag: ban_imports_of_wheat, Categories: Country, , All, 
Tag: ban_imports_of_maize, Categories: Country, , All, 
Tag: ban_imports_of_rice, Categories: Country, , All, 
Tag: ban_imports_of_millet, Categories: Country, , All, 
Tag: ban_imports_of_legumes, Categories: Country, , All, 
Tag: ban_imports_of_potato, Categories: Country, , All, 
Tag: ban_imports_of_livestock, Categories: Country, , All, 
Tag: ban_imports_of_olives, Categories: Country, , All, 
Tag: ban_imports_of_fruit, Categories: Country, , All, 
Tag: ban_imports_of_tar, Categories: Country, , All, 
Tag: ban_imports_of_porcelain, Categories: Country, , All, 
Tag: ban_imports_of_naval_supplies, Categories: Country, , All, 
Tag: ban_imports_of_weaponry, Categories: Country, , All, 
Tag: ban_imports_of_glass, Categories: Country, , All, 
Tag: ban_imports_of_steel, Categories: Country, , All, 
Tag: ban_imports_of_cloth, Categories: Country, , All, 
Tag: ban_imports_of_fine_cloth, Categories: Country, , All, 
Tag: ban_imports_of_liquor, Categories: Country, , All, 
Tag: ban_imports_of_beer, Categories: Country, , All, 
Tag: ban_imports_of_paper, Categories: Country, , All, 
Tag: ban_imports_of_books, Categories: Country, , All, 
Tag: ban_imports_of_jewelry, Categories: Country, , All, 
Tag: ban_imports_of_leather, Categories: Country, , All, 
Tag: ban_imports_of_tools, Categories: Country, , All, 
Tag: ban_imports_of_lacquerware, Categories: Country, , All, 
Tag: local_cotton_output_modifier, Categories: Location, , All, 
Tag: local_sugar_output_modifier, Categories: Location, , All, 
Tag: local_tobacco_output_modifier, Categories: Location, , All, 
Tag: local_horses_output_modifier, Categories: Location, , All, 
Tag: local_clay_output_modifier, Categories: Location, , All, 
Tag: local_sand_output_modifier, Categories: Location, , All, 
Tag: local_coal_output_modifier, Categories: Location, , All, 
Tag: local_iron_output_modifier, Categories: Location, , All, 
Tag: local_copper_output_modifier, Categories: Location, , All, 
Tag: local_goods_gold_output_modifier, Categories: Location, , All, 
Tag: local_silver_output_modifier, Categories: Location, , All, 
Tag: local_stone_output_modifier, Categories: Location, , All, 
Tag: local_tin_output_modifier, Categories: Location, , All, 
Tag: local_lead_output_modifier, Categories: Location, , All, 
Tag: local_wool_output_modifier, Categories: Location, , All, 
Tag: local_silk_output_modifier, Categories: Location, , All, 
Tag: local_dyes_output_modifier, Categories: Location, , All, 
Tag: local_incense_output_modifier, Categories: Location, , All, 
Tag: local_tea_output_modifier, Categories: Location, , All, 
Tag: local_cocoa_output_modifier, Categories: Location, , All, 
Tag: local_coffee_output_modifier, Categories: Location, , All, 
Tag: local_fiber_crops_output_modifier, Categories: Location, , All, 
Tag: local_ivory_output_modifier, Categories: Location, , All, 
Tag: local_fur_output_modifier, Categories: Location, , All, 
Tag: local_lumber_output_modifier, Categories: Location, , All, 
Tag: local_salt_output_modifier, Categories: Location, , All, 
Tag: local_medicaments_output_modifier, Categories: Location, , All, 
Tag: local_gems_output_modifier, Categories: Location, , All, 
Tag: local_pearls_output_modifier, Categories: Location, , All, 
Tag: local_amber_output_modifier, Categories: Location, , All, 
Tag: local_saltpeter_output_modifier, Categories: Location, , All, 
Tag: local_alum_output_modifier, Categories: Location, , All, 
Tag: local_wine_output_modifier, Categories: Location, , All, 
Tag: local_elephants_output_modifier, Categories: Location, , All, 
Tag: local_slaves_goods_output_modifier, Categories: Location, , All, 
Tag: local_wild_game_output_modifier, Categories: Location, , All, 
Tag: local_fish_output_modifier, Categories: Location, , All, 
Tag: local_wheat_output_modifier, Categories: Location, , All, 
Tag: local_maize_output_modifier, Categories: Location, , All, 
Tag: local_rice_output_modifier, Categories: Location, , All, 
Tag: local_millet_output_modifier, Categories: Location, , All, 
Tag: local_legumes_output_modifier, Categories: Location, , All, 
Tag: local_potato_output_modifier, Categories: Location, , All, 
Tag: local_livestock_output_modifier, Categories: Location, , All, 
Tag: local_olives_output_modifier, Categories: Location, , All, 
Tag: local_fruit_output_modifier, Categories: Location, , All, 
Tag: local_tar_output_modifier, Categories: Location, , All, 
Tag: local_porcelain_output_modifier, Categories: Location, , All, 
Tag: local_naval_supplies_output_modifier, Categories: Location, , All, 
Tag: local_weaponry_output_modifier, Categories: Location, , All, 
Tag: local_glass_output_modifier, Categories: Location, , All, 
Tag: local_steel_output_modifier, Categories: Location, , All, 
Tag: local_cloth_output_modifier, Categories: Location, , All, 
Tag: local_fine_cloth_output_modifier, Categories: Location, , All, 
Tag: local_liquor_output_modifier, Categories: Location, , All, 
Tag: local_beer_output_modifier, Categories: Location, , All, 
Tag: local_paper_output_modifier, Categories: Location, , All, 
Tag: local_books_output_modifier, Categories: Location, , All, 
Tag: local_jewelry_output_modifier, Categories: Location, , All, 
Tag: local_leather_output_modifier, Categories: Location, , All, 
Tag: local_tools_output_modifier, Categories: Location, , All, 
Tag: local_lacquerware_output_modifier, Categories: Location, , All, 
Tag: global_cotton_output_modifier, Categories: Country, , All, 
Tag: global_sugar_output_modifier, Categories: Country, , All, 
Tag: global_tobacco_output_modifier, Categories: Country, , All, 
Tag: global_horses_output_modifier, Categories: Country, , All, 
Tag: global_clay_output_modifier, Categories: Country, , All, 
Tag: global_sand_output_modifier, Categories: Country, , All, 
Tag: global_coal_output_modifier, Categories: Country, , All, 
Tag: global_iron_output_modifier, Categories: Country, , All, 
Tag: global_copper_output_modifier, Categories: Country, , All, 
Tag: global_goods_gold_output_modifier, Categories: Country, , All, 
Tag: global_silver_output_modifier, Categories: Country, , All, 
Tag: global_stone_output_modifier, Categories: Country, , All, 
Tag: global_tin_output_modifier, Categories: Country, , All, 
Tag: global_lead_output_modifier, Categories: Country, , All, 
Tag: global_wool_output_modifier, Categories: Country, , All, 
Tag: global_silk_output_modifier, Categories: Country, , All, 
Tag: global_dyes_output_modifier, Categories: Country, , All, 
Tag: global_incense_output_modifier, Categories: Country, , All, 
Tag: global_tea_output_modifier, Categories: Country, , All, 
Tag: global_cocoa_output_modifier, Categories: Country, , All, 
Tag: global_coffee_output_modifier, Categories: Country, , All, 
Tag: global_fiber_crops_output_modifier, Categories: Country, , All, 
Tag: global_ivory_output_modifier, Categories: Country, , All, 
Tag: global_fur_output_modifier, Categories: Country, , All, 
Tag: global_lumber_output_modifier, Categories: Country, , All, 
Tag: global_salt_output_modifier, Categories: Country, , All, 
Tag: global_medicaments_output_modifier, Categories: Country, , All, 
Tag: global_gems_output_modifier, Categories: Country, , All, 
Tag: global_pearls_output_modifier, Categories: Country, , All, 
Tag: global_amber_output_modifier, Categories: Country, , All, 
Tag: global_saltpeter_output_modifier, Categories: Country, , All, 
Tag: global_alum_output_modifier, Categories: Country, , All, 
Tag: global_wine_output_modifier, Categories: Country, , All, 
Tag: global_elephants_output_modifier, Categories: Country, , All, 
Tag: global_slaves_goods_output_modifier, Categories: Country, , All, 
Tag: global_wild_game_output_modifier, Categories: Country, , All, 
Tag: global_fish_output_modifier, Categories: Country, , All, 
Tag: global_wheat_output_modifier, Categories: Country, , All, 
Tag: global_maize_output_modifier, Categories: Country, , All, 
Tag: global_rice_output_modifier, Categories: Country, , All, 
Tag: global_millet_output_modifier, Categories: Country, , All, 
Tag: global_legumes_output_modifier, Categories: Country, , All, 
Tag: global_potato_output_modifier, Categories: Country, , All, 
Tag: global_livestock_output_modifier, Categories: Country, , All, 
Tag: global_olives_output_modifier, Categories: Country, , All, 
Tag: global_fruit_output_modifier, Categories: Country, , All, 
Tag: global_tar_output_modifier, Categories: Country, , All, 
Tag: global_porcelain_output_modifier, Categories: Country, , All, 
Tag: global_naval_supplies_output_modifier, Categories: Country, , All, 
Tag: global_weaponry_output_modifier, Categories: Country, , All, 
Tag: global_glass_output_modifier, Categories: Country, , All, 
Tag: global_steel_output_modifier, Categories: Country, , All, 
Tag: global_cloth_output_modifier, Categories: Country, , All, 
Tag: global_fine_cloth_output_modifier, Categories: Country, , All, 
Tag: global_liquor_output_modifier, Categories: Country, , All, 
Tag: global_beer_output_modifier, Categories: Country, , All, 
Tag: global_paper_output_modifier, Categories: Country, , All, 
Tag: global_books_output_modifier, Categories: Country, , All, 
Tag: global_jewelry_output_modifier, Categories: Country, , All, 
Tag: global_leather_output_modifier, Categories: Country, , All, 
Tag: global_tools_output_modifier, Categories: Country, , All, 
Tag: global_lacquerware_output_modifier, Categories: Country, , All, 
Tag: anti_piracy_warfare_modifier, Categories: Unit, , All, 
Tag: amount_looted_modifier, Categories: Unit, , All, 
Tag: local_pirate_spawn_chance, Categories: Location, , All, 
Tag: global_pirate_spawn_chance, Categories: Country, , All, 
Tag: correct_box_chance, Categories: Unit, , All, 
Tag: estate_building_destruction_satisfaction_impact, Categories: Country, , All, 
Tag: local_mercenaries_modifier, Categories: Location, , All, 
Tag: global_mercenaries_modifier, Categories: Country, , All, 
Tag: curia_actions_blocked, Categories: Religion, , All, 
Tag: no_lowborn_leaders, Categories: Country, , All, 
Tag: blocked_from_being_leader, Categories: Character, , All, 
Tag: maximum_stockpile_capacity, Categories: Location, , All, 
Tag: foreign_export_from_market_efficiency, Categories: Country, , All, 
Tag: export_impact_on_demand, Categories: Country, , All, 
Tag: ban_exports_of_marble, Categories: Country, , All, 
Tag: ban_imports_of_marble, Categories: Country, , All, 
Tag: local_marble_output_modifier, Categories: Location, , All, 
Tag: global_marble_output_modifier, Categories: Country, , All, 
Tag: ban_exports_of_firearms, Categories: Country, , All, 
Tag: ban_imports_of_firearms, Categories: Country, , All, 
Tag: local_firearms_output_modifier, Categories: Location, , All, 
Tag: global_firearms_output_modifier, Categories: Country, , All, 
Tag: ban_exports_of_cannons, Categories: Country, , All, 
Tag: ban_imports_of_cannons, Categories: Country, , All, 
Tag: local_cannons_output_modifier, Categories: Location, , All, 
Tag: global_cannons_output_modifier, Categories: Country, , All, 
Tag: ban_exports_of_masonry, Categories: Country, , All, 
Tag: ban_imports_of_masonry, Categories: Country, , All, 
Tag: local_masonry_output_modifier, Categories: Location, , All, 
Tag: global_masonry_output_modifier, Categories: Country, , All, 
Tag: ban_exports_of_mercury, Categories: Country, , All, 
Tag: ban_imports_of_mercury, Categories: Country, , All, 
Tag: local_mercury_output_modifier, Categories: Location, , All, 
Tag: global_mercury_output_modifier, Categories: Country, , All, 
Tag: ban_exports_of_beeswax, Categories: Country, , All, 
Tag: ban_imports_of_beeswax, Categories: Country, , All, 
Tag: local_beeswax_output_modifier, Categories: Location, , All, 
Tag: global_beeswax_output_modifier, Categories: Country, , All, 
Tag: ban_exports_of_saffron, Categories: Country, , All, 
Tag: ban_imports_of_saffron, Categories: Country, , All, 
Tag: local_saffron_output_modifier, Categories: Location, , All, 
Tag: global_saffron_output_modifier, Categories: Country, , All, 
Tag: ban_exports_of_pepper, Categories: Country, , All, 
Tag: ban_imports_of_pepper, Categories: Country, , All, 
Tag: local_pepper_output_modifier, Categories: Location, , All, 
Tag: global_pepper_output_modifier, Categories: Country, , All, 
Tag: ban_exports_of_cloves, Categories: Country, , All, 
Tag: ban_imports_of_cloves, Categories: Country, , All, 
Tag: local_cloves_output_modifier, Categories: Location, , All, 
Tag: global_cloves_output_modifier, Categories: Country, , All, 
Tag: ban_exports_of_chili, Categories: Country, , All, 
Tag: ban_imports_of_chili, Categories: Country, , All, 
Tag: local_chili_output_modifier, Categories: Location, , All, 
Tag: global_chili_output_modifier, Categories: Country, , All, 
Tag: ban_exports_of_pottery, Categories: Country, , All, 
Tag: ban_imports_of_pottery, Categories: Country, , All, 
Tag: local_pottery_output_modifier, Categories: Location, , All, 
Tag: global_pottery_output_modifier, Categories: Country, , All, 
Tag: ban_exports_of_furniture, Categories: Country, , All, 
Tag: ban_imports_of_furniture, Categories: Country, , All, 
Tag: local_furniture_output_modifier, Categories: Location, , All, 
Tag: global_furniture_output_modifier, Categories: Country, , All, 
Tag: global_may_build_nahuatl_units, Categories: Country, , All, 
Tag: local_may_build_nahuatl_units, Categories: Location, , All, 
Tag: local_may_build_north_american_units, Categories: Location, , All, 
Tag: may_build_sofa_units, Categories: Location, , All, 
Tag: religious_icon_power_modifier, Categories: Country, , All, 
Tag: is_battles_preordained, Categories: Country, , All, 
Tag: minting_inflation_threshold, Categories: Country, , All, 
Tag: minting_income_factor, Categories: Country, , All, 
Tag: bribe_voter_for_policy_cost_modifier, Categories: Country, , All, 
Tag: hide_from_black_death_cost_modifier, Categories: Country, , All, 
Tag: control_the_food_market_cost_modifier, Categories: Country, , All, 
Tag: close_the_borders_cost_modifier, Categories: Country, , All, 
Tag: no_contact_with_outsiders_cost_modifier, Categories: Country, , All, 
Tag: segregate_the_infected_cost_modifier, Categories: Country, , All, 
Tag: strict_quarantines_cost_modifier, Categories: Country, , All, 
Tag: isolate_cities_black_death_cost_modifier, Categories: Country, , All, 
Tag: procure_remedies_cost_modifier, Categories: Country, , All, 
Tag: stop_procure_remedies_cost_modifier, Categories: Country, , All, 
Tag: sponsor_sin_forgiveness_cost_modifier, Categories: Country, , All, 
Tag: stop_sponsor_sin_forgiveness_cost_modifier, Categories: Country, , All, 
Tag: blame_the_minorities_cost_modifier, Categories: Country, , All, 
Tag: stop_blame_the_minorities_cost_modifier, Categories: Country, , All, 
Tag: road_building_blocked, Categories: Location, , All, 
Tag: constructions_stalled, Categories: Location, , All, 
Tag: recruit_conquistador_cost_modifier, Categories: Country, , All, 
Tag: allow_conquistadors, Categories: Country, , All, 
Tag: auto_conquer_at_war, Categories: Country, , All, 
Tag: auto_conquer_different_religion_at_war, Categories: Country, , All, 
Tag: can_colonize, Categories: Country, , All, 
Tag: always_allow_navy_levies, Categories: Country, , All, 
Tag: always_allow_army_levies, Categories: Country, , All, 
Tag: global_migration_attraction, Categories: Country, , All, 
Tag: rural_migration_attraction, Categories: Country, , All, 
Tag: non_rural_migration_attraction, Categories: Country, , All, 
Tag: prevented_from_being_heir, Categories: Character, , All, 
Tag: byz_born_in_the_purple, Categories: Character, , All, 
Tag: can_recruit_regiment_in_this_location, Categories: Location, , All, 
Tag: can_build_ships_in_this_location, Categories: Location, , All, 
Tag: block_from_change_to_empire_rank, Categories: Country, , All, 
Tag: block_from_change_to_empire_rank_catholic, Categories: Country, , All, 
Tag: block_from_change_to_kingdom_rank, Categories: Country, , All, 
Tag: block_from_change_to_duchy_rank, Categories: Country, , All, 
Tag: character_life_expectancy, Categories: Character, , All, 
Tag: local_life_expectancy, Categories: Location, , All, 
Tag: global_life_expectancy, Categories: Country, , All, 
Tag: is_immortal, Categories: Character, , All, 
Tag: blocked_from_declaring_war, Categories: Country, , All, 
Tag: union_blocked_from_declaring_war, Categories: Country, , All, 
Tag: trade_range, Categories: Country, , All, 
Tag: trade_range_modifier, Categories: Country, , All, 
Tag: mercenary_range, Categories: Country, , All, 
Tag: mercenary_range_modifier, Categories: Country, , All, 
Tag: global_trade_through_owned_territory_efficiency, Categories: Country, , All, 
Tag: local_trade_embark_disembark_efficiency, Categories: Location, , All, 
Tag: trade_land_efficiency, Categories: Country, , All, 
Tag: trade_sea_efficiency, Categories: Country, , All, 
Tag: add_religious_aspect_christian_cost_modifier, Categories: Country, , All, 
Tag: remove_religious_aspect_christian_cost_modifier, Categories: Country, , All, 
Tag: add_religious_aspect_inti_cost_modifier, Categories: Country, , All, 
Tag: change_religious_aspect_inti_cost_modifier, Categories: Country, , All, 
Tag: remove_religious_aspect_inti_cost_modifier, Categories: Country, , All, 
Tag: add_religious_aspect_hellenism_cost_modifier, Categories: Country, , All, 
Tag: change_religious_aspect_hellenism_cost_modifier, Categories: Country, , All, 
Tag: remove_religious_aspect_hellenism_cost_modifier, Categories: Country, , All, 
Tag: blocked_from_marriage, Categories: Character, , All, 
Tag: marriage_desirability, Categories: Character, , All, 
Tag: allow_privateers_slave_raid, Categories: Country, , All, 
Tag: blocks_privateer_raids, Categories: Location, , All, 
Tag: auto_slave_raid, Categories: Country, , All, 
Tag: auto_slave_raid_different_religion, Categories: Country, , All, 
Tag: slave_raid_efficiency, Categories: Country, , All, 
Tag: rural_disease_resistance, Categories: Country, , All, 
Tag: local_disease_resistance, Categories: Location, , All, 
Tag: global_disease_resistance, Categories: Country, , All, 
Tag: local_prosperity_decay, Categories: Location, , All, 
Tag: global_prosperity_decay, Categories: Country, , All, 
Tag: local_devastation_recovery, Categories: Location, , All, 
Tag: global_devastation_recovery, Categories: Country, , All, 
Tag: can_have_monasteries, Categories: Country, , All, 
Tag: slavery_blocked, Categories: Country, , All, 
Tag: any_pop_can_be_slave, Categories: Country, , All, 
Tag: global_nobles_conversion_blocked, Categories: Country, , All, 
Tag: local_nobles_conversion_blocked, Categories: Location, , All, 
Tag: global_clergy_conversion_blocked, Categories: Country, , All, 
Tag: local_clergy_conversion_blocked, Categories: Location, , All, 
Tag: global_burghers_conversion_blocked, Categories: Country, , All, 
Tag: local_burghers_conversion_blocked, Categories: Location, , All, 
Tag: global_peasants_conversion_blocked, Categories: Country, , All, 
Tag: local_peasants_conversion_blocked, Categories: Location, , All, 
Tag: global_laborers_conversion_blocked, Categories: Country, , All, 
Tag: local_laborers_conversion_blocked, Categories: Location, , All, 
Tag: global_soldiers_conversion_blocked, Categories: Country, , All, 
Tag: local_soldiers_conversion_blocked, Categories: Location, , All, 
Tag: global_slaves_conversion_blocked, Categories: Country, , All, 
Tag: local_slaves_conversion_blocked, Categories: Location, , All, 
Tag: global_tribesmen_conversion_blocked, Categories: Country, , All, 
Tag: local_tribesmen_conversion_blocked, Categories: Location, , All, 
Tag: global_nobles_assimilation_blocked, Categories: Country, , All, 
Tag: local_nobles_assimilation_blocked, Categories: Location, , All, 
Tag: global_clergy_assimilation_blocked, Categories: Country, , All, 
Tag: local_clergy_assimilation_blocked, Categories: Location, , All, 
Tag: global_burghers_assimilation_blocked, Categories: Country, , All, 
Tag: local_burghers_assimilation_blocked, Categories: Location, , All, 
Tag: global_peasants_assimilation_blocked, Categories: Country, , All, 
Tag: local_peasants_assimilation_blocked, Categories: Location, , All, 
Tag: global_laborers_assimilation_blocked, Categories: Country, , All, 
Tag: local_laborers_assimilation_blocked, Categories: Location, , All, 
Tag: global_soldiers_assimilation_blocked, Categories: Country, , All, 
Tag: local_soldiers_assimilation_blocked, Categories: Location, , All, 
Tag: global_slaves_assimilation_blocked, Categories: Country, , All, 
Tag: local_slaves_assimilation_blocked, Categories: Location, , All, 
Tag: global_tribesmen_assimilation_blocked, Categories: Country, , All, 
